"","dspId","numpoints"
"1",152,217
"2",153,6487
"3",155,54
"4",156,97
"5",157,11461
"6",158,22
"7",159,165
"8",160,1015
"9",161,372
"10",162,474
"11",163,68
"12",166,42
"13",168,2671
"14",169,601
"15",170,6952
"16",171,130
"17",172,2865
"18",174,10800
"19",176,2299
"20",177,107
"21",178,2904
"22",179,15
"23",180,2732
"24",183,1110
"25",185,70
"26",186,307
"27",187,45
"28",188,211
"29",189,54
"30",190,1176
"31",191,7117
"32",192,1219
"33",193,71
"34",194,1073
"35",195,75
"36",196,5369
"37",198,20
"38",199,52
"39",201,5328
"40",202,142
"41",203,23
"42",204,525
"43",205,2879
"44",206,33
"45",207,86
"46",209,10
"47",210,446
"48",211,824
"49",212,126
"50",213,4265
"51",214,186
"52",215,13
"53",216,15
"54",219,19
"55",220,1726
"56",221,15
"57",222,65
"58",223,91
"59",224,96
"60",225,197
"61",226,48
"62",227,8
"63",228,5
"64",229,55
"65",230,13
"66",231,10
"67",233,178
"68",234,22
"69",235,5
"70",236,49
"71",238,3238
"72",240,56
"73",241,2876
"74",243,2
"75",244,6171
"76",245,93
"77",246,105
"78",247,8634
"79",248,9438
"80",250,2501
"81",253,73
"82",271,194
"83",272,278
"84",274,24
"85",275,16150
"86",277,10860
"87",278,1072
"88",279,563
"89",280,141
"90",281,43
"91",283,4603
"92",284,134
"93",285,8236
"94",286,2
"95",289,876
"96",290,690
"97",291,664
"98",292,23
"99",293,42266
"100",294,3760
"101",295,28566
"102",298,3039
"103",299,3072
"104",300,5497
"105",301,401
"106",302,59
"107",304,1180
"108",305,187
"109",306,80
"110",307,187
"111",308,11068
"112",309,2662
"113",310,387
"114",311,4351
"115",312,186
"116",313,430
"117",314,2288
"118",316,1262
"119",318,7265
"120",319,16
"121",320,2474
"122",321,23
"123",322,3512
"124",323,341
"125",325,49
"126",326,3576
"127",327,22
"128",328,1233
"129",329,43
"130",331,62
"131",336,126
"132",337,306
"133",338,315
"134",340,977
"135",341,40
"136",342,3
"137",345,62
"138",346,53
"139",347,2693
"140",348,15
"141",349,5
"142",351,35
"143",352,69
"144",353,25666
"145",354,18
"146",355,4071
"147",357,11
"148",358,452
"149",359,151
"150",360,1
"151",361,252
"152",362,6408
"153",363,6356
"154",364,603
"155",365,67
"156",366,36
"157",367,132
"158",368,880
"159",369,17
"160",372,64
"161",374,235
"162",377,7470
"163",380,2119
"164",381,14
"165",382,368
"166",383,18
"167",385,525
"168",388,88
"169",389,1559
"170",390,405
"171",391,325
"172",392,1
"173",393,994
"174",394,1297
"175",395,557
"176",429,39
"177",431,97
"178",432,2405
"179",434,13
"180",435,186
"181",436,10
"182",437,16
"183",438,102
"184",440,5772
"185",441,122
"186",442,308
"187",444,21
"188",445,132
"189",454,74
"190",455,31
"191",456,86
"192",460,21
"193",462,136
"194",463,25
"195",464,23
"196",465,16336
"197",466,38
"198",467,25
"199",470,994
"200",472,88
"201",473,10
"202",475,119
"203",477,10
"204",478,235
"205",479,1508
"206",481,3960
"207",482,13
"208",486,19
"209",488,575
"210",489,140
"211",491,339
"212",492,180
"213",493,4
"214",494,84
"215",495,48
"216",496,3009
"217",497,55
"218",498,134
"219",499,9
"220",502,10
"221",503,123
"222",504,118
"223",505,930
"224",506,615
"225",507,34
"226",509,1669
"227",514,5205
"228",515,263
"229",516,123
"230",523,197
"231",525,17
"232",526,1
"233",528,16
"234",529,289
"235",531,46
"236",535,59
"237",536,17624
"238",537,4060
"239",538,250
"240",539,978
"241",541,24
"242",542,26
"243",543,909
"244",544,733
"245",545,375
"246",547,48
"247",548,3913
"248",551,9
"249",553,160
"250",554,52
"251",556,388
"252",561,6
"253",565,63
"254",567,19
"255",569,875
"256",571,33
"257",572,224
"258",574,478
"259",577,1150
"260",578,19418
"261",579,1699
"262",581,126
"263",582,1983
"264",583,30
"265",584,197
"266",585,7527
"267",586,48
"268",587,6762
"269",588,1056
"270",589,12694
"271",590,1313
"272",592,5341
"273",593,3
"274",594,94
"275",595,42
"276",596,3093
"277",598,5842
"278",601,86
"279",602,20197
"280",603,402
"281",604,1941
"282",605,5
"283",606,997
"284",607,329
"285",610,1
"286",612,6590
"287",614,1449
"288",615,2409
"289",626,3
"290",627,7956
"291",628,1814
"292",632,2
"293",634,2058
"294",635,190
"295",636,1956
"296",639,22
"297",640,995
"298",642,1240
"299",644,68
"300",645,26
"301",646,2
"302",648,2931
"303",649,625
"304",650,5224
"305",651,6934
"306",652,18
"307",654,904
"308",655,8
"309",657,12701
"310",658,16
"311",659,35
"312",660,1
"313",661,578
"314",662,57
"315",664,9
"316",665,267
"317",666,94
"318",667,907
"319",672,3900
"320",673,979
"321",674,64
"322",675,1
"323",677,1
"324",678,1
"325",679,35
"326",680,167
