,datetime,lat,lng,accuracy,velocity,idDiaNum,uid,idDia,geometry,delta_t,delta_t_m,idTraj,idTrip,leaving_datetime
0,2019-09-27 17:54:04.839000064,-0.207156325,-78.504467575,28,,2019927,tld17,2019-09-27,POINT (-78.5048089 -0.2079338),0 days 00:01:01.928000,1.0321333333333333,1,0,2019-09-27 18:00:44.447000064
1,2019-09-27 18:03:49.326999808,-0.2117787,-78.5055595,1000,,2019927,tld17,2019-09-27,POINT (-78.5055595 -0.2117787),0 days 00:01:02.031999744,1.0338666624000001,1,0,2019-09-27 18:18:32.825999872
2,2019-09-27 18:18:32.825999872,-0.2163728,-78.5041391,1200,,2019927,tld17,2019-09-27,POINT (-78.5041391 -0.2163728),0 days 00:14:43.499000064,14.724983334400001,1,0,2019-09-27 20:42:56.412000000
3,2019-09-27 20:42:56.412000000,-0.2172372,-78.5076901,800,,2019927,tld17,2019-09-27,POINT (-78.5076901 -0.2172372),0 days 01:38:36.579000064,98.60965000106667,1,1,2019-09-27 20:59:24.835000064
0,2019-09-28 00:23:22.013999872,-0.20685465,-78.50316335,23,,2019928,tld17,2019-09-28,POINT (-78.50316334999999 -0.20685465),0 days 00:04:08.008999680,4.1334833280000005,2,0,2019-09-28 01:55:18.038000128
1,2019-09-28 01:58:22.289999872,-0.2068573,-78.50316485,24,,2019928,tld17,2019-09-28,POINT (-78.50316485 -0.2068573),0 days 00:03:04.251999744,3.0708666624000003,2,1,2019-09-28 02:24:44.637000192
2,2019-09-28 02:26:05.398000128,-0.2068586,-78.5031722,17,,2019928,tld17,2019-09-28,POINT (-78.50276789999999 -0.2061861),0 days 00:02:01.075000064,2.0179166677333336,2,2,2019-09-28 10:40:57.667000064
3,2019-09-28 10:42:58.533999872,-0.2074704,-78.5044942,1399,,2019928,tld17,2019-09-28,POINT (-78.5044942 -0.2074704),0 days 00:02:00.866999808,2.0144499968000003,2,2,2019-09-28 15:23:35.306999808
4,2019-09-28 15:23:35.306999808,-0.2054612,-78.5055595,1000,,2019928,tld17,2019-09-28,POINT (-78.5055595 -0.2054612),0 days 04:40:36.772999936,280.6128833322667,2,3,2019-09-28 15:32:23.700999936
5,2019-09-28 15:32:23.700999936,-0.2068526,-78.50317799999999,17,,2019928,tld17,2019-09-28,POINT (-78.50317799999999 -0.2068526),0 days 00:08:48.394000128,8.8065666688,2,3,2019-09-28 15:44:12.752000000
6,2019-09-28 15:47:19.080000000,-0.20686415,-78.50316720000001,17,,2019928,tld17,2019-09-28,POINT (-78.50316720000001 -0.20686415),0 days 00:03:06.328000,3.1054666666666666,2,3,2019-09-28 17:32:51.388999936
7,2019-09-28 17:32:51.388999936,-0.2051714,-78.5020085,1299,,2019928,tld17,2019-09-28,POINT (-78.5020085 -0.2051714),0 days 01:45:32.308999936,105.53848333226667,2,4,2019-09-28 17:38:54.706000128
8,2019-09-28 17:38:54.706000128,-0.206857,-78.5031732,17,,2019928,tld17,2019-09-28,POINT (-78.50317320000001 -0.206857),0 days 00:06:03.317000192,6.055283336533334,2,4,2019-09-28 17:50:11.180000000
9,2019-09-28 17:50:11.180000000,-0.2051714,-78.5020085,1299,,2019928,tld17,2019-09-28,POINT (-78.5020085 -0.2051714),0 days 00:11:16.473999872,11.274566664533333,2,4,2019-09-28 18:11:41.602999808
10,2019-09-28 18:11:41.602999808,-0.20725670000000002,-78.50373125,1399,,2019928,tld17,2019-09-28,POINT (-78.5044942 -0.2074704),0 days 00:02:20.716000256,2.3452666709333334,2,4,2019-09-28 18:25:36.338000128
11,2019-09-28 18:25:36.338000128,-0.2172347,-78.5044942,1200,,2019928,tld17,2019-09-28,POINT (-78.5044942 -0.2172347),0 days 00:11:34.019000064,11.5669833344,2,4,2019-09-28 19:11:06.431000064
12,2019-09-28 19:11:06.431000064,-0.2180996,-78.5084002,1100,,2019928,tld17,2019-09-28,POINT (-78.5084002 -0.2183867),0 days 00:01:01.029000192,1.0171500032,2,5,2019-09-28 19:25:37.223000064
13,2019-09-28 19:25:37.223000064,-0.2192523,-78.5144365,1100,,2019928,tld17,2019-09-28,POINT (-78.5133713 -0.2192523),0 days 00:42:23.036000,42.38393333333333,2,6,2019-09-28 20:27:22.766000128
14,2019-09-28 20:27:22.766000128,-0.2068509,-78.5031738,17,,2019928,tld17,2019-09-28,POINT (-78.5031738 -0.2068509),0 days 00:14:19.402000128,14.3233666688,2,6,2019-09-28 23:35:58.650000128
15,2019-09-28 23:42:11.098000128,-0.2051714,-78.5020085,1299,,2019928,tld17,2019-09-28,POINT (-78.5020085 -0.2051714),0 days 00:04:11.204000,4.186733333333334,2,7,2019-09-28 23:48:15.280999936
0,2019-09-29 00:03:25.723000064,-0.2051714,-78.5020085,1299,,2019929,tld17,2019-09-29,POINT (-78.5020085 -0.2051714),0 days 00:15:10.442000128,15.174033335466667,3,0,2019-09-29 00:28:32.852000000
1,2019-09-29 00:28:32.852000000,-0.2068625,-78.50317175,17,,2019929,tld17,2019-09-29,POINT (-78.50317175000001 -0.2068625),0 days 00:25:07.128999936,25.1188166656,3,0,2019-09-29 05:48:41.957999872
2,2019-09-29 05:48:41.957999872,-0.2051714,-78.5020085,1299,,2019929,tld17,2019-09-29,POINT (-78.5020085 -0.2051714),0 days 05:20:09.105999872,320.15176666453334,3,1,2019-09-29 06:12:14.134000128
3,2019-09-29 06:12:14.134000128,-0.2068577,-78.5031729,17,,2019929,tld17,2019-09-29,POINT (-78.5031729 -0.2068577),0 days 00:23:32.176000256,23.536266670933337,3,1,2019-09-29 11:51:05.769999872
4,2019-09-29 11:53:16.546999808,-0.2068655,-78.5031756,17,,2019929,tld17,2019-09-29,POINT (-78.50317560000001 -0.2068655),0 days 00:02:10.776999936,2.1796166656000002,3,2,2019-09-29 12:46:32.380999936
5,2019-09-29 12:48:07.996000000,-0.2068523,-78.503175975,17,,2019929,tld17,2019-09-29,POINT (-78.50318204999999 -0.20684005),0 days 00:04:02.751000064,4.0458500010666665,3,3,2019-09-29 17:29:08.401999872
6,2019-09-29 17:29:08.401999872,-0.2037391,-78.5066248,1600,,2019929,tld17,2019-09-29,POINT (-78.5066248 -0.2037391),0 days 02:19:26.267999744,139.43779999573334,3,4,2019-09-29 17:38:21.564000000
7,2019-09-29 17:38:21.564000000,-0.20684750000000002,-78.5031792,17,,2019929,tld17,2019-09-29,POINT (-78.50317820000001 -0.2068475),0 days 00:07:12.080999936,7.201349998933334,3,5,2019-09-29 19:26:01.019000064
8,2019-09-29 19:26:01.019000064,-0.2051714,-78.5020085,1299,,2019929,tld17,2019-09-29,POINT (-78.5020085 -0.2051714),0 days 00:32:15.626000128,32.26043333546667,3,6,2019-09-29 19:32:04.990000128
9,2019-09-29 19:32:04.990000128,-0.2068499,-78.5031767,17,,2019929,tld17,2019-09-29,POINT (-78.5031767 -0.2068499),0 days 00:06:03.971000064,6.0661833344,3,6,2019-09-29 21:43:01.585999872
10,2019-09-29 21:51:10.977999872,-0.20502785,-78.5020085,1200,,2019929,tld17,2019-09-29,POINT (-78.5020085 -0.2048843),0 days 00:02:01.148000,2.0191333333333334,3,7,2019-09-29 21:59:22.779000064
0,2019-10-16 03:52:01.305999872,-0.206831,-78.5031199,28,,20191016,tld17,2019-10-16,POINT (-78.5012808 -0.2074134),0 days 00:29:36.542999808,29.609049996800003,6,1,2019-10-16 07:10:15.356000000
1,2019-10-16 07:10:15.356000000,-0.2080434,-78.5027187,1000,,20191016,tld17,2019-10-16,POINT (-78.5027187 -0.2080434),0 days 00:03:13.363000064,3.222716667733333,6,1,2019-10-16 07:19:02.515000064
2,2019-10-16 07:19:02.515000064,-0.2094776,-78.5005881,1200,,20191016,tld17,2019-10-16,POINT (-78.5005881 -0.2094776),0 days 00:08:47.159000064,8.7859833344,6,1,2019-10-16 11:10:58.956000000
3,2019-10-16 11:10:58.956000000,-0.17572745,-78.4888962,23,,20191016,tld17,2019-10-16,POINT (-78.4888144 -0.1752999),0 days 00:36:33.733000192,36.562216669866665,6,4,2019-10-16 14:04:10.260000000
4,2019-10-16 14:04:10.260000000,-0.17768235,-78.48894455,1100,,20191016,tld17,2019-10-16,POINT (-78.4888687 -0.1770348),0 days 00:00:49.522000128,0.8253666688,6,4,2019-10-16 14:24:58.384000000
5,2019-10-16 14:24:58.384000000,-0.20715445,-78.502416125,17,,20191016,tld17,2019-10-16,POINT (-78.50317885 -0.2068406),0 days 00:02:43.023000064,2.7170500010666667,6,4,2019-10-16 14:47:16.832999936
6,2019-10-16 14:47:16.832999936,-0.20701730000000002,-78.5036601,17,,20191016,tld17,2019-10-16,POINT (-78.5031754 -0.20684595),0 days 00:02:27.917999872,2.4652999978666665,6,5,2019-10-16 21:12:15.880000000
0,2019-10-17 00:19:16.400000000,-0.206841175,-78.5030597,1000,,20191017,tld17,2019-10-17,POINT (-78.5027187 -0.2080434),0 days 00:02:03.053000192,2.0508833365333334,7,5,2019-10-17 08:59:28.749000192
1,2019-10-17 08:59:28.749000192,-0.1839969,-78.4937259,1000,,20191017,tld17,2019-10-17,POINT (-78.49384070000001 -0.1847853),0 days 00:04:01.964000,4.032733333333334,7,6,2019-10-17 09:46:27.117000192
2,2019-10-17 09:46:27.117000192,-0.1882279,-78.492065,1299,,20191017,tld17,2019-10-17,POINT (-78.492065 -0.1882279),0 days 00:20:22.686000128,20.378100002133337,7,6,2019-10-17 09:57:21.773999872
3,2019-10-17 09:57:21.773999872,-0.1755479,-78.4888961,23,,20191017,tld17,2019-10-17,POINT (-78.48889610000001 -0.1755479),0 days 00:10:54.656999680,10.910949994666668,7,6,2019-10-17 13:26:09.546999808
